n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,25,0.9998,0.0001,0.40679999999999983,-2.1146,-1.7078,0.9998,0.9999376785207603
7,4,3,26,0.99905,0.0009,0.19500000000000006,-1.4728999999999999,-1.2778999999999998,0.99905,0.9998659820761763
7,4,3,27,0.99715,0.00285,0.14500000000000002,-2.638,-2.493,0.99715,0.9998433472327521
7,4,3,28,0.59315,0.33695,0.07769999999999988,-2.0591,-1.9814,0.33695,0.9672125006070614
7,4,3,29,0.9607,0.0365,0.05840000000000023,-2.0501,-1.9916999999999998,0.0365,0.9719861762840833
7,4,3,30,0.88385,0.11605,0.023599999999999843,-1.6945999999999999,-1.671,0.11605,0.9876468016050985
7,4,3,31,0.55475,0.44525,0.0686,-1.6456,-1.577,0.44525,0.9768741796305298
7,4,3,32,0.999,0.0005,0.5514999999999999,-1.8234,-1.2719,0.999,0.9996499616101788
7,4,3,33,0.99975,0.0002,0.19220000000000015,-2.035,-1.8428,0.99975,0.999972090909091
7,4,3,34,0.92925,0.0687,0.026699999999999946,-2.035,-2.0083,0.92925,0.9987304054054053
7,4,3,35,0.99865,0.0013,0.12619999999999987,-2.8592,-2.733,0.99865,0.999925690752658
7,4,3,36,0.99415,0.00455,0.10519999999999996,-1.5023,-1.3971,0.99415,0.9994509751714037
7,4,3,37,0.99985,0.00015,0.27269999999999994,-1.8573,-1.5846,0.99985,0.9999779760943305
7,4,3,39,0.9999,0.0001,0.23320000000000007,-1.8538000000000001,-1.6206,0.9999,0.9999658808933004
7,4,3,40,0.99985,0.0001,0.5264000000000002,-3.0981,-2.5717,0.99985,0.9999720441560958
7,4,3,41,0.55105,0.4426,0.03410000000000002,-1.4043999999999999,-1.3702999999999999,0.4426,0.9327763030475646
7,4,3,42,0.99985,0.0001,0.5080000000000005,-2.5817,-2.0736999999999997,0.99985,0.9999444823178525
7,4,3,44,0.99975,0.00025,0.2098,-1.3882,-1.1784000000000001,0.99975,0.999954905633194
7,4,3,46,0.98085,0.01745,0.1418999999999997,-1.4051999999999998,-1.2633,0.98085,0.9979603366068887
7,4,3,47,0.744,0.2559,0.09870000000000001,-1.1051,-1.0064,0.2559,0.9335380056103519
