seed,AR_max,succ
1145,1.0,1.0
1146,0.999881984247198,0.9978
1147,0.9986986799072366,0.9833
1148,0.9998078747628084,0.99575
1149,1.0,1.0
1150,1.0,1.0
1151,0.9999590703851262,0.9993
1152,1.0,1.0
1153,1.0,1.0
1154,1.0,1.0
1155,1.0,1.0
1156,0.9999757958375688,0.9997
1158,1.0,1.0
1159,1.0,1.0
1160,0.9999460247666904,0.99955
1161,1.0,1.0
1162,0.9999476109478892,0.9996
1164,1.0,1.0
1166,0.996606531822675,0.8881
1167,0.9971392417016856,0.8515
1168,0.9965418145688152,0.9448
1169,1.0,1.0
1171,1.0000000000000002,1.0
1172,1.0,1.0
1173,1.0,1.0
1174,0.9992209480425168,0.99015
1175,0.9995038411458332,0.97485
1176,1.0000000000000002,1.0
1177,1.0,1.0
1178,0.9953741866792856,0.30175
1180,0.9993250271562024,0.8079
1181,1.0,1.0
1183,0.9980636588596123,0.9781
1185,1.0,1.0
1186,1.0,1.0
1187,0.999999104644656,0.9989
1188,0.9986638973692756,0.9941
1189,1.0,1.0
1190,0.9999494694767442,0.99915
1191,1.0,1.0
1192,0.9996521090934783,0.99775
1193,0.9999921794871794,0.99995
1194,1.0,1.0
1195,0.9999575309142508,0.9995
1200,0.9891616581809768,0.6772
1201,1.0,1.0
1202,1.0,1.0
1203,0.9983539403755632,0.6034
1204,0.999993995778046,0.99985
1206,1.0,1.0
1207,0.9572123587511508,0.26215
1208,1.0,1.0
1210,1.0,1.0
1214,0.989733912924425,0.2107
1215,0.9999443623535674,0.99915
1216,0.9999770806987962,0.99995
1217,1.0,1.0
1218,0.9829537679254986,0.29425
1220,0.999994838826512,0.99995
1222,1.0,1.0
1223,0.9999980165155442,0.99985
1224,0.9873853576209044,0.3351
1225,1.0,1.0
1226,0.9958786060072616,0.8777
1227,0.9999866965329178,0.99995
1229,1.0,1.0
1230,0.9995546599768989,0.99435
1231,1.0,1.0
1232,1.0,1.0
1234,1.0,1.0
1235,0.9999831646637148,0.9999
1236,0.9999347731314172,0.9917
1237,1.0,1.0
1238,1.0,1.0
1239,1.0,1.0
1240,0.9999334237111872,0.9988
1241,0.9882733648170012,0.79055
1242,0.9998809029371272,0.99805
1243,1.0,1.0
1246,1.0000000000000002,1.0
1247,1.0,1.0
1249,1.0,1.0
1250,1.0,1.0
1251,0.9969029411764704,0.9782
1252,0.9986605028386052,0.65025
1253,1.0,1.0
1255,1.0,1.0
1256,0.9999837142857144,0.99985
1257,1.0,1.0
1259,0.9999951847221624,0.9999
1260,0.9999917620278084,0.99995
1261,1.0,1.0
1262,0.9989634592101472,0.9892
1263,0.9999954339885196,0.99965
422,0.9999727052824268,0.99985
424,0.9958049688733678,0.9167
425,0.9998958116783858,0.9993
426,1.0,1.0
428,1.0,1.0
429,1.0,1.0
430,1.0,1.0
431,0.998834017662816,0.76495
432,0.9660773567933216,0.17445
433,1.0,1.0
434,0.9981726534071084,0.92985
435,1.0,1.0
436,0.9998973438379288,0.9993
437,0.9840110515302116,0.41785
438,1.0,1.0
439,1.0,1.0
440,0.99998518346023,0.99995
441,1.0,1.0
442,0.9783941593431266,0.21285
444,1.0,1.0
446,0.9999923971145364,0.99975
447,0.9999060120088168,0.998
448,0.9999944827234216,0.99995
449,0.9997970503631048,0.99725
450,0.9860754436935516,0.492
451,1.0,1.0
452,1.0,1.0
455,0.989314371351126,0.7677
456,0.9812260742289598,0.8046
457,1.0,1.0
458,1.0,1.0
459,0.9999980026078712,0.99995
460,1.0,1.0
461,1.0000000000000002,1.0
465,0.9999919677722308,0.99995
466,0.9999991677968192,0.99975
467,1.0,1.0
468,1.0,1.0
469,0.983509234816102,0.3939
470,0.9993290248645644,0.9852
471,0.9796119878138546,0.2662
472,0.9914936290768382,0.0788
473,0.9914930966697502,0.71255
475,1.0,1.0
476,0.9851185942463424,0.11605
477,1.0,1.0
479,1.0,1.0
481,0.978169950124688,0.48305
482,0.999988236188738,0.99995
483,0.9751716026989772,0.0
484,0.999276324996084,0.9913
485,0.9998854512211048,0.99895
486,1.0,1.0
487,0.9999607237422772,0.99975
488,1.0,1.0
489,1.0,1.0
490,1.0,1.0
491,0.9958544256017507,0.9482
493,1.0,1.0
494,1.0,1.0
495,1.0,1.0
496,1.0,1.0
497,1.0,1.0
498,0.9843221196068864,0.5686
499,0.9873910656908248,0.6831
500,0.9999150006084204,0.97695
501,0.9966294020469014,0.97145
503,1.0,1.0
505,1.0,1.0
506,0.9998350798381946,0.99865
507,0.999492503748126,0.97745
508,0.9998824776544756,0.9967
509,0.9991750448833032,0.984
510,0.9999944406695904,0.99995
511,0.9734322853064784,0.62525
513,1.0,1.0
515,0.991436785774012,0.80555
518,1.0,1.0
519,1.0,1.0
520,0.9999941959611072,0.9994
521,1.0,1.0
522,1.0,1.0
523,1.0,1.0
524,1.0000000000000002,1.0
525,1.0,1.0
526,0.9999491819425445,0.9989
527,0.9993198231785256,0.92575
528,0.990410479368932,0.81095
530,1.0,1.0
531,1.0,1.0
532,0.9999475023047768,0.99795
533,1.0,1.0
534,0.999895247194865,0.99875
535,0.9989058629661752,0.9842
536,0.9998569173774984,0.99785
539,0.9941805102040816,0.1226
540,1.0,1.0
541,1.0,1.0
542,1.0,1.0
543,1.0,1.0
544,0.9990669252327096,0.98615
545,0.9999671079971006,0.99985
546,1.0,1.0
547,0.9976554087357768,0.0132
548,0.9999952969383992,0.99995
549,1.0,1.0
550,1.0,1.0
551,0.9999941947470224,0.99995
552,1.0,1.0
553,1.0,1.0
554,0.9997981052847194,0.99905
555,0.9724547615880828,0.40245
556,1.0,1.0
558,0.9999513383326948,0.9993
559,0.9934916716596764,0.8832
563,0.9960996125396268,0.9188
564,0.9999941327832595,0.99995
565,1.0,1.0
566,0.988578214680575,0.09775
568,1.0,1.0
569,0.9998614505712864,0.9952
575,1.0,1.0
576,0.9999748156562636,0.9996
