n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,486,0.9546,0.0454,0.052200000000000024,-1.3771,-1.3249,0.9546,0.9982790792244571
7,4,3,487,0.999,0.00095,0.27,-1.8128,-1.5428,0.999,0.9998433031774051
7,4,3,488,0.99285,0.00705,0.19549999999999956,-2.1132999999999997,-1.9178000000000002,0.99285,0.9993362206028487
7,4,3,489,1.0,0.0,0.3780999999999999,-2.1967,-1.8186,1.0,1.0
7,4,3,490,0.9999,5e-05,0.6301999999999999,-3.0932,-2.463,0.9999,0.9999778384844176
7,4,3,491,0.9401,0.05285,0.07220000000000004,-0.914,-0.8418,0.9401,0.9945277078774618
7,4,3,493,1.0,0.0,0.6028999999999998,-1.6056,-1.0027000000000001,1.0,1.0
7,4,3,494,1.0,0.0,0.1644000000000001,-1.2072,-1.0428,1.0,1.0
7,4,3,495,1.0,0.0,0.17939999999999978,-1.6441,-1.4647000000000001,1.0,1.0
7,4,3,496,0.9996,0.0004,0.16159999999999997,-2.109,-1.9474,0.9996,0.9999693504030346
7,4,3,497,0.9997,0.0003,0.2872999999999999,-2.1648,-1.8775000000000002,0.9997,0.9999284368070952
7,4,3,498,0.59815,0.40185,0.05109999999999992,-1.4346999999999999,-1.3836,0.40185,0.9786955705025441
7,4,3,499,0.67265,0.32725,0.0665,-1.6805999999999999,-1.6140999999999999,0.67265,0.9870258092347972
7,4,3,500,0.96965,0.02915,0.002200000000000202,-1.6436000000000002,-1.6414,0.96965,0.9998735428328058
7,4,3,501,0.9708,0.0292,0.14650000000000007,-1.2409,-1.0943999999999998,0.9708,0.9965526633894755
7,4,3,503,0.99955,0.0002,0.5237999999999998,-2.1525,-1.6287,0.99955,0.9998727595818814
7,4,3,505,0.99995,5e-05,0.2630999999999999,-1.3742999999999999,-1.1112,0.99995,0.9999904278541804
7,4,3,506,0.99935,0.0006,0.28690000000000015,-2.3485,-2.0616,0.99935,0.9999166318926975
7,4,3,507,0.8682,0.1307,0.03949999999999987,-2.001,-1.9615,0.8682,0.9973376186906546
7,4,3,508,0.9932,0.00675,0.0653999999999999,-2.3159,-2.2505,0.9932,0.999805334859018
7,4,3,509,0.9841,0.0159,0.09189999999999987,-1.7824,-1.6905000000000001,0.9841,0.9991802008527827
7,4,3,510,0.9999,0.0001,0.17999999999999994,-1.6188999999999998,-1.4388999999999998,0.9999,0.9999888813391808
7,4,3,511,0.62095,0.18235,0.07089999999999996,-1.2610999999999999,-1.1902,0.62095,0.9731254341447944
7,4,3,513,0.99995,5e-05,0.18179999999999996,-1.762,-1.5802,0.99995,0.9999889982973894
7,4,3,515,0.80175,0.19825,0.07899999999999996,-1.7939,-1.7149,0.80175,0.9912694408829923
7,4,3,518,1.0,0.0,0.1825000000000001,-1.9923000000000002,-1.8098,1.0,0.9999999999999999
7,4,3,519,1.0,0.0,0.3829999999999998,-2.2901,-1.9071,1.0,1.0
7,4,3,520,0.99925,0.00075,0.019400000000000084,-2.0055,-1.9861,0.99925,0.9999927449513837
7,4,3,521,0.99995,5e-05,0.3806999999999998,-2.0622,-1.6815,0.99995,0.9999902531277277
7,4,3,522,1.0,0.0,0.14280000000000004,-1.0727,-0.9299,1.0,1.0
7,4,3,523,1.0,0.0,0.5602,-2.2049,-1.6446999999999998,1.0,1.0
7,4,3,524,0.9984,0.00155,0.059499999999999886,-1.9004999999999999,-1.841,0.9984,0.9999457537490135
7,4,3,525,1.0,0.0,0.5206999999999997,-2.3629,-1.8422,1.0,1.0
7,4,3,526,0.97895,0.02105,0.06729999999999992,-1.8275,-1.7602,0.97895,0.999224807113543
7,4,3,527,0.86925,0.13075,0.017200000000000104,-1.8776,-1.8603999999999998,0.86925,0.9988022475500639
7,4,3,528,0.7784,0.22135,0.08320000000000016,-1.6480000000000001,-1.5648,0.7784,0.9887895813106797
7,4,3,530,0.99555,0.00445,0.34219999999999984,-2.11,-1.7678,0.99555,0.999278298578199
7,4,3,531,0.89725,0.0496,0.06980000000000008,-1.7625,-1.6926999999999999,0.89725,0.9924168283687944
7,4,3,532,0.9857,0.01425,0.07499999999999973,-2.9286999999999996,-2.8537,0.9857,0.999623732372725
7,4,3,533,1.0,0.0,0.1685000000000001,-1.6215000000000002,-1.453,1.0,1.0
7,4,3,534,0.99145,0.00625,0.10329999999999973,-2.0408999999999997,-1.9376,0.99145,0.9995415184477435
7,4,3,535,0.9842,0.01565,0.15759999999999996,-2.306,-2.1484,0.9842,0.9988987077189939
7,4,3,536,0.99355,0.00575,0.09299999999999997,-1.6061,-1.5131000000000001,0.99355,0.9995826691986801
7,4,3,539,0.94855,0.0514,0.015600000000000058,-2.352,-2.3364,0.0514,0.9936941772959184
7,4,3,540,0.9998,0.0002,0.1482000000000001,-2.2235,-2.0753,0.9998,0.9999866696649425
7,4,3,541,1.0,0.0,0.2722,-1.4016,-1.1294,1.0,1.0
7,4,3,542,1.0,0.0,0.2456999999999998,-2.2649999999999997,-2.0193,1.0,1.0
7,4,3,543,1.0,0.0,0.3551000000000002,-2.007,-1.6519,1.0,1.0
7,4,3,544,0.75715,0.24285,0.13219999999999987,-1.9982,-1.866,0.75715,0.9839331548393555
7,4,3,545,0.99825,0.0017,0.2128000000000001,-2.0695,-1.8567,0.99825,0.9997054022710801
7,4,3,546,0.9996,0.00025,0.2984,-2.0743,-1.7759,0.9996,0.9998920430988767
7,4,3,547,0.984,0.0147,0.0044999999999999485,-1.9071,-1.9026,0.0147,0.9976384169681717
7,4,3,548,0.9999,5e-05,0.1529999999999998,-1.6265999999999998,-1.4736,0.9999,0.9999765185048567
7,4,3,549,0.9858,0.00825,0.18579999999999997,-1.3102,-1.1244,0.9858,0.9979579568004885
7,4,3,550,0.9995,0.0004,0.3776999999999999,-3.0391,-2.6614,0.9995,0.9998548928959231
7,4,3,551,0.9883,0.01165,0.13439999999999985,-1.9646,-1.8302,0.9883,0.9991972080830703
7,4,3,552,1.0,0.0,0.2177,-1.3264,-1.1087,1.0,1.0
7,4,3,553,1.0,0.0,0.39620000000000033,-2.6682,-2.272,1.0,1.0
7,4,3,554,0.9991,0.00055,0.2939999999999998,-1.9527999999999999,-1.6588,0.9991,0.9997958213846783
7,4,3,555,0.76375,0.14425,0.03790000000000027,-1.5037,-1.4657999999999998,0.092,0.9595912914810135
7,4,3,556,0.99925,0.00065,0.3710999999999993,-2.4063999999999997,-2.0353000000000003,0.99925,0.9998718625332447
7,4,3,558,0.9988,0.00065,0.12700000000000022,-1.8269000000000002,-1.6999,0.9988,0.9996822431441241
7,4,3,559,0.8803,0.1197,0.10230000000000006,-1.8359,-1.7336,0.8803,0.9933300778909527
7,4,3,563,0.9103,0.08965,0.0677000000000001,-1.4195,-1.3518,0.9103,0.9957192532581896
7,4,3,564,0.99945,0.00055,0.24280000000000035,-2.3512000000000004,-2.1084,0.99945,0.9999354606158557
7,4,3,565,1.0,0.0,0.06220000000000003,-1.584,-1.5218,1.0,1.0
7,4,3,566,0.90005,0.0991,0.0259999999999998,-2.0803,-2.0543,0.0991,0.9885036172667402
7,4,3,568,0.9998,0.0002,0.04079999999999995,-1.5230000000000001,-1.4822000000000002,0.9998,0.9999946421536442
7,4,3,569,0.9832,0.0156,0.05439999999999978,-2.2142999999999997,-2.1599,0.9832,0.9993373075012418
7,4,3,575,0.9995,0.00035,0.14719999999999978,-3.1513,-3.0041,0.9995,0.9998741900168185
7,4,3,576,0.9984,0.0016,0.08219999999999983,-2.5089,-2.4267000000000003,0.9984,0.9999475786201124
7,4,3,577,0.9999,0.0001,0.09729999999999994,-1.4738,-1.3765,0.9999,0.9999933980187271
7,4,3,578,0.9967,0.0021,0.1736000000000002,-1.6955,-1.5218999999999998,0.9967,0.999536930109112
7,4,3,579,1.0,0.0,0.2798999999999998,-2.01,-1.7301,1.0,1.0
7,4,3,580,1.0,0.0,0.22489999999999988,-2.0002,-1.7753,1.0,1.0
7,4,3,581,1.0,0.0,0.09130000000000016,-1.7736,-1.6823,1.0,1.0
7,4,3,582,0.9999,0.0001,0.0766,-1.5759,-1.4993,0.9999,0.9999770797639443
7,4,3,583,0.99975,0.00025,0.47239999999999993,-2.2896,-1.8172000000000001,0.99975,0.9999343662648497
7,4,3,584,1.0,0.0,0.13139999999999996,-1.6832,-1.5518,1.0,1.0
7,4,3,585,0.62375,0.3294,0.05489999999999995,-1.8583999999999998,-1.8034999999999999,0.3294,0.9722093413689196
7,4,3,586,0.97585,0.0241,0.0935999999999999,-2.3712,-2.2776,0.97585,0.9990421073717949
7,4,3,587,0.9996,0.0002,0.32520000000000016,-1.7852000000000001,-1.46,0.9996,0.9999095787586824
7,4,3,588,0.9957,0.0042,0.03819999999999979,-1.6507999999999998,-1.6126,0.9957,0.9998965168403201
7,4,3,589,0.8593,0.14045,0.03909999999999991,-1.9411999999999998,-1.9021,0.14045,0.9826494951576347
7,4,3,590,0.9998,0.00015,0.31679999999999997,-1.9014,-1.5846,0.9998,0.9999631219101712
7,4,3,591,1.0,0.0,0.1953999999999998,-1.7719999999999998,-1.5766,1.0,0.9999999999999999
7,4,3,595,0.99995,5e-05,0.17019999999999968,-1.7483999999999997,-1.5782,0.99995,0.9999951326927478
7,4,3,597,0.9154,0.08365,0.04370000000000007,-1.6129,-1.5692,0.9154,0.9975883966767934
7,4,3,598,0.9955,0.0026,0.006299999999999972,-2.1022000000000003,-2.0959000000000003,0.0026,0.9969794786414232
7,4,3,599,0.94485,0.05515,0.11609999999999987,-2.853,-2.7369000000000003,0.94485,0.9977557255520504
7,4,3,601,0.9998,0.0001,0.016799999999999926,-1.9304000000000001,-1.9136000000000002,0.9998,0.9999661935350187
7,4,3,602,0.42775,0.39805,0.06220000000000003,-1.7633,-1.7011,0.1742,0.9595378721714966
7,4,3,604,1.0,0.0,0.25449999999999995,-1.4255,-1.171,1.0,1.0
7,4,3,605,0.9996,0.00035,0.49929999999999986,-2.1233,-1.624,0.9996,0.9998998563556728
